version = 1
startTime = 2025-12-13 08:57:01.091
screenWidth = 1920
screenHeight = 1080
----------------------------------------
Event 90: MsgID=512, Time=235945000, X=1850, Y=-1, MouseData=0, Flags=0, TimeStamp=235945000
Event 91: MsgID=512, Time=235945000, X=1850, Y=-1, MouseData=0, Flags=0, TimeStamp=235945000
Event 92: MsgID=512, Time=235945015, X=1850, Y=-1, MouseData=0, Flags=0, TimeStamp=235945015
Event 93: MsgID=512, Time=235945171, X=1850, Y=0, MouseData=0, Flags=0, TimeStamp=235945171
Event 94: MsgID=512, Time=235945171, X=1849, Y=0, MouseData=0, Flags=0, TimeStamp=235945171
Event 95: MsgID=512, Time=235945187, X=1846, Y=0, MouseData=0, Flags=0, TimeStamp=235945187
Event 96: MsgID=512, Time=235945187, X=1837, Y=1, MouseData=0, Flags=0, TimeStamp=235945187
Event 97: MsgID=512, Time=235945203, X=1825, Y=3, MouseData=0, Flags=0, TimeStamp=235945203
Event 98: MsgID=512, Time=235945203, X=1808, Y=7, MouseData=0, Flags=0, TimeStamp=235945203
Event 99: MsgID=512, Time=235945218, X=1779, Y=11, MouseData=0, Flags=0, TimeStamp=235945218
Event 100: MsgID=512, Time=235945218, X=1740, Y=17, MouseData=0, Flags=0, TimeStamp=235945218
Event 101: MsgID=512, Time=235945234, X=1690, Y=25, MouseData=0, Flags=0, TimeStamp=235945234
Event 102: MsgID=512, Time=235945234, X=1628, Y=35, MouseData=0, Flags=0, TimeStamp=235945234
Event 103: MsgID=512, Time=235945250, X=1551, Y=45, MouseData=0, Flags=0, TimeStamp=235945250
Event 104: MsgID=512, Time=235945250, X=1467, Y=56, MouseData=0, Flags=0, TimeStamp=235945250
Event 105: MsgID=512, Time=235945265, X=1376, Y=70, MouseData=0, Flags=0, TimeStamp=235945265
Event 106: MsgID=512, Time=235945265, X=1278, Y=83, MouseData=0, Flags=0, TimeStamp=235945265
Event 107: MsgID=512, Time=235945281, X=1176, Y=96, MouseData=0, Flags=0, TimeStamp=235945281
Event 108: MsgID=512, Time=235945281, X=1076, Y=108, MouseData=0, Flags=0, TimeStamp=235945281
Event 109: MsgID=512, Time=235945296, X=972, Y=119, MouseData=0, Flags=0, TimeStamp=235945296
Event 110: MsgID=512, Time=235945296, X=872, Y=126, MouseData=0, Flags=0, TimeStamp=235945296
Event 111: MsgID=512, Time=235945312, X=768, Y=132, MouseData=0, Flags=0, TimeStamp=235945312
Event 112: MsgID=512, Time=235945328, X=666, Y=137, MouseData=0, Flags=0, TimeStamp=235945328
Event 113: MsgID=512, Time=235945328, X=563, Y=141, MouseData=0, Flags=0, TimeStamp=235945328
Event 114: MsgID=512, Time=235945328, X=462, Y=146, MouseData=0, Flags=0, TimeStamp=235945328
Event 115: MsgID=512, Time=235945343, X=370, Y=150, MouseData=0, Flags=0, TimeStamp=235945343
Event 116: MsgID=512, Time=235945359, X=291, Y=154, MouseData=0, Flags=0, TimeStamp=235945359
Event 117: MsgID=512, Time=235945359, X=220, Y=161, MouseData=0, Flags=0, TimeStamp=235945359
Event 118: MsgID=512, Time=235945375, X=162, Y=167, MouseData=0, Flags=0, TimeStamp=235945375
Event 119: MsgID=512, Time=235945375, X=115, Y=170, MouseData=0, Flags=0, TimeStamp=235945375
Event 120: MsgID=512, Time=235945390, X=79, Y=176, MouseData=0, Flags=0, TimeStamp=235945390
Event 121: MsgID=512, Time=235945390, X=53, Y=179, MouseData=0, Flags=0, TimeStamp=235945390
Event 122: MsgID=512, Time=235945406, X=34, Y=183, MouseData=0, Flags=0, TimeStamp=235945406
Event 123: MsgID=512, Time=235945406, X=24, Y=186, MouseData=0, Flags=0, TimeStamp=235945406
Event 124: MsgID=512, Time=235945421, X=14, Y=190, MouseData=0, Flags=0, TimeStamp=235945421
Event 125: MsgID=512, Time=235945421, X=8, Y=194, MouseData=0, Flags=0, TimeStamp=235945421
Event 126: MsgID=512, Time=235945437, X=4, Y=200, MouseData=0, Flags=0, TimeStamp=235945437
Event 127: MsgID=512, Time=235945437, X=-1, Y=206, MouseData=0, Flags=0, TimeStamp=235945437
version = 1
